nl_query,soql_params,schema,iucr_context
"In 2007, how many aggravated criminal sexual assaults involving a handgun or other firearm resulted in an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2007 AND iucr IN ('0261','0262') AND arrest = true""}","year (number), iucr (text), arrest (boolean).","0261 | CRIMINAL SEXUAL ASSAULT | AGGRAVATED - HANDGUN
0262 | CRIMINAL SEXUAL ASSAULT | AGGRAVATED - OTHER FIREARM"
"In 2019, how many attempted aggravated criminal sexual assaults (handgun, other firearm, knife, or other dangerous weapon) led to an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND iucr IN ('0271','0272','0273','0274') AND arrest = true""}","year (number), iucr (text), arrest (boolean).","0271 | CRIMINAL SEXUAL ASSAULT | ATTEMPT AGGRAVATED - HANDGUN
0272 | CRIMINAL SEXUAL ASSAULT | ATTEMPT AGGRAVATED - OTHER FIREARM
0273 | CRIMINAL SEXUAL ASSAULT | ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT
0274 | CRIMINAL SEXUAL ASSAULT | ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON"
"In 2006, how many strong-arm robberies with no weapon or vehicular hijacking robberies led to an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2006 AND iucr IN ('0320','0325') AND arrest = true""}","year (number), iucr (text), arrest (boolean).","0320 | ROBBERY | STRONG ARM - NO WEAPON
0325 | ROBBERY | VEHICULAR HIJACKING"
"In 2014, how many attempted armed robberies involving a handgun or other firearm were recorded without an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2014 AND iucr IN ('033A','033B') AND arrest = false""}","year (number), iucr (text), arrest (boolean).","033A | ROBBERY | ATTEMPT ARMED - HANDGUN
033B | ROBBERY | ATTEMPT ARMED - OTHER FIREARM"
"In 2005, how many aggravated battery incidents involving a handgun or other firearm were domestic-related?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2005 AND iucr IN ('041A','041B') AND domestic = true""}","year (number), iucr (text), domestic (boolean).","041A | BATTERY | AGGRAVATED - HANDGUN
041B | BATTERY | AGGRAVATED - OTHER FIREARM"
"In 2012, how many aggravated battery incidents involving a knife or other dangerous weapon were not domestic-related?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2012 AND iucr IN ('0420','0430') AND domestic = false""}","year (number), iucr (text), domestic (boolean).","0420 | BATTERY | AGGRAVATED - KNIFE / CUTTING INSTRUMENT
0430 | BATTERY | AGGRAVATED - OTHER DANGEROUS WEAPON"
"In 2021, how many aggravated domestic battery incidents involving a handgun or other firearm were recorded?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND iucr IN ('0488','0489')""}","year (number), iucr (text).","0488 | BATTERY | AGGRAVATED DOMESTIC BATTERY - HANDGUN
0489 | BATTERY | AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM"
"In 2016, how many aggravated domestic battery incidents involving a knife or other dangerous weapon led to an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2016 AND iucr IN ('0496','0497') AND arrest = true""}","year (number), iucr (text), arrest (boolean).","0496 | BATTERY | AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT
0497 | BATTERY | AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON"
"In 2003, how many homicide incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2003 AND primary_type = 'HOMICIDE'""}","year (number), primary_type (text).",
"In 2018, how many criminal sexual assault incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2018 AND primary_type = 'CRIMINAL SEXUAL ASSAULT'""}","year (number), primary_type (text).",
"In 2009, how many weapons violation incidents were recorded and resulted in an arrest?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2009 AND primary_type = 'WEAPONS VIOLATION' AND arrest = true""}","year (number), primary_type (text), arrest (boolean).",
"In 2017, how many deceptive practice incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2017 AND primary_type = 'DECEPTIVE PRACTICE'""}","year (number), primary_type (text).",
"In 2006, how many criminal damage incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2006 AND primary_type = 'CRIMINAL DAMAGE'""}","year (number), primary_type (text).",
"In 2013, how many criminal trespass incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2013 AND primary_type = 'CRIMINAL TRESPASS'""}","year (number), primary_type (text).",
"In 2010, how many arson incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2010 AND primary_type = 'ARSON'""}","year (number), primary_type (text).",
"In 2022, how many prostitution incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'PROSTITUTION'""}","year (number), primary_type (text).",
"In 2008, how many stalking incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2008 AND primary_type = 'STALKING'""}","year (number), primary_type (text).",
"In 2020, how many liquor law violation incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'LIQUOR LAW VIOLATION'""}","year (number), primary_type (text).",
"In 2004, how many kidnapping incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2004 AND primary_type = 'KIDNAPPING'""}","year (number), primary_type (text).",
"In 2016, how many sex offense incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2016 AND primary_type = 'SEX OFFENSE'""}","year (number), primary_type (text).",
"In 2012, how many offenses involving children were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2012 AND primary_type = 'OFFENSE INVOLVING CHILDREN'""}","year (number), primary_type (text).",
"In 2019, how many interference with public officer incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'INTERFERENCE WITH PUBLIC OFFICER'""}","year (number), primary_type (text).",
"In 2007, how many intimidation incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2007 AND primary_type = 'INTIMIDATION'""}","year (number), primary_type (text).",
"In 2014, how many gambling incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2014 AND primary_type = 'GAMBLING'""}","year (number), primary_type (text).",
"In 2023, how many human trafficking incidents were recorded in total?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'HUMAN TRAFFICKING'""}","year (number), primary_type (text).",
How many theft incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'THEFT' AND arrest = true""}","primary_type (text), arrest (boolean).",
How many robbery incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'ROBBERY' AND arrest = true""}","primary_type (text), arrest (boolean).",
How many burglary incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'BURGLARY' AND arrest = true""}","primary_type (text), arrest (boolean).",
How many battery incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'BATTERY' AND arrest = true""}","primary_type (text), arrest (boolean).",
How many narcotics incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'NARCOTICS' AND arrest = true""}","primary_type (text), arrest (boolean).",
How many domestic battery incidents are there?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'BATTERY' AND domestic = true""}","primary_type (text), domestic (boolean).",
How many domestic assaults are there?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'ASSAULT' AND domestic = true""}","primary_type (text), domestic (boolean).",
How many domestic robberies are there?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'ROBBERY' AND domestic = true""}","primary_type (text), domestic (boolean).",
How many domestic burglaries are there?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'BURGLARY' AND domestic = true""}","primary_type (text), domestic (boolean).",
How many domestic battery incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'BATTERY' AND domestic = true AND arrest = true""}","primary_type (text), domestic (boolean), arrest (boolean).",
How many domestic assaults resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'ASSAULT' AND domestic = true AND arrest = true""}","primary_type (text), domestic (boolean), arrest (boolean).",
How many motor vehicle theft incidents resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""primary_type = 'MOTOR VEHICLE THEFT' AND arrest = true""}","primary_type (text), arrest (boolean).",
How many theft incidents happened in the last 30 days that resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 30 AND primary_type = 'THEFT' AND arrest = true""}","date (timestamp), primary_type (text), arrest (boolean).",
How many burglaries happened in the last 14 days that resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 14 AND primary_type = 'BURGLARY' AND arrest = true""}","date (timestamp), primary_type (text), arrest (boolean).",
How many robberies happened in the last 60 days that did not result in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 60 AND primary_type = 'ROBBERY' AND arrest = false""}","date (timestamp), primary_type (text), arrest (boolean).",
How many domestic battery incidents happened in the last 30 days?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 30 AND primary_type = 'BATTERY' AND domestic = true""}","date (timestamp), primary_type (text), domestic (boolean).",
How many domestic assaults happened in the last 30 days that resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""date_diff_d(to_floating_timestamp(get_utc_date(), 'UTC'), date) <= 30 AND primary_type = 'ASSAULT' AND domestic = true AND arrest = true""}","date (timestamp), primary_type (text), domestic (boolean), arrest (boolean).",
How many robberies in 2024 were domestic-related?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ROBBERY' AND domestic = true""}","year (number), primary_type (text), domestic (boolean).",
How many burglaries in 2024 resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'BURGLARY' AND arrest = true""}","year (number), primary_type (text), arrest (boolean).",
How many batteries in 2023 were domestic-related and resulted in an arrest?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'BATTERY' AND domestic = true AND arrest = true""}","year (number), primary_type (text), domestic (boolean), arrest (boolean).",
How many crimes were reported in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024""}","year (number), district (text).",
How many theft incidents were reported in each district?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""primary_type = 'THEFT'""}","primary_type (text), district (text).",
How many burglaries occurred in each ward in 2024?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'BURGLARY'""}","year (number), primary_type (text), ward (number).",
How many robberies occurred in each ward?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""primary_type = 'ROBBERY'""}","primary_type (text), ward (number).",
How many battery incidents occurred in each community area?,"{""$group"": ""community_area"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""primary_type = 'BATTERY'""}","primary_type (text), community_area (text).",
How many narcotics incidents were reported in each district in 2023?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'NARCOTICS'""}","year (number), primary_type (text), district (text).",
How many criminal damage incidents occurred in each ward in 2023?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'CRIMINAL DAMAGE'""}","year (number), primary_type (text), ward (number).",
How many motor vehicle theft incidents occurred in each district?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""primary_type = 'MOTOR VEHICLE THEFT'""}","primary_type (text), district (text).",
How many assaults were reported in each community area in 2024?,"{""$group"": ""community_area"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ASSAULT'""}","year (number), primary_type (text), community_area (text).",
How many deceptive practice incidents occurred in each district?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""primary_type = 'DECEPTIVE PRACTICE'""}","primary_type (text), district (text).",
How many public peace violation incidents occurred in each ward in 2024?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'PUBLIC PEACE VIOLATION'""}","year (number), primary_type (text), ward (number).",
How many criminal trespass incidents occurred in each district?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""primary_type = 'CRIMINAL TRESPASS'""}","primary_type (text), district (text).",
How many sex offense incidents occurred in each ward in 2023?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'SEX OFFENSE'""}","year (number), primary_type (text), ward (number).",
How many offenses involving children occurred in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'OFFENSE INVOLVING CHILDREN'""}","year (number), primary_type (text), district (text).",
How many other offense incidents occurred in each community area?,"{""$group"": ""community_area"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""primary_type = 'OTHER OFFENSE'""}","primary_type (text), community_area (text).",
How many weapon violation incidents occurred in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'WEAPONS VIOLATION'""}","year (number), primary_type (text), district (text).",
How many robbery incidents occurred in each community area?,"{""$group"": ""community_area"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""primary_type = 'ROBBERY'""}","primary_type (text), community_area (text).",
How many theft incidents occurred in each ward in 2023?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'THEFT'""}","year (number), primary_type (text), ward (number).",
How many battery incidents occurred in each district?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""primary_type = 'BATTERY'""}","primary_type (text), district (text).",
How many motor vehicle theft incidents occurred in each ward in 2024?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'MOTOR VEHICLE THEFT'""}","year (number), primary_type (text), ward (number).",
How many arrests were made in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND arrest = true""}","year (number), arrest (boolean), district (text).",
How many non-arrest incidents were reported in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND arrest = false""}","year (number), arrest (boolean), district (text).",
How many domestic-related incidents were reported in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND domestic = true""}","year (number), domestic (boolean), district (text).",
How many non-domestic incidents were reported in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND domestic = false""}","year (number), domestic (boolean), district (text).",
How many theft incidents resulted in an arrest in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'THEFT' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), district (text).",
How many robberies resulted in an arrest in each ward in 2024?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ROBBERY' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), ward (number).",
How many burglaries resulted in an arrest in each community area in 2024?,"{""$group"": ""community_area"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'BURGLARY' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), community_area (text).",
How many battery incidents were domestic-related in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'BATTERY' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), district (text).",
How many assault incidents were domestic-related in each ward in 2024?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ASSAULT' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), ward (number).",
How many motor vehicle theft incidents resulted in an arrest in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'MOTOR VEHICLE THEFT' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), district (text).",
How many narcotics incidents resulted in an arrest in each district in 2023?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'NARCOTICS' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), district (text).",
How many criminal damage incidents resulted in an arrest in each ward in 2023?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'CRIMINAL DAMAGE' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), ward (number).",
How many deceptive practice incidents resulted in an arrest in each district in 2023?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'DECEPTIVE PRACTICE' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), district (text).",
How many weapons violation incidents resulted in an arrest in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'WEAPONS VIOLATION' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), district (text).",
How many domestic-related robberies were reported in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ROBBERY' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), district (text).",
How many domestic-related burglaries were reported in each ward in 2024?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'BURGLARY' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), ward (number).",
How many domestic-related assaults were reported in each community area in 2024?,"{""$group"": ""community_area"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ASSAULT' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), community_area (text).",
How many domestic-related incidents categorized as other offense were reported in each district in 2024?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'OTHER OFFENSE' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), district (text).",
How many domestic-related batteries were reported in each district in 2023?,"{""$group"": ""district"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'BATTERY' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), district (text).",
How many theft incidents that resulted in an arrest were reported in each ward in 2023?,"{""$group"": ""ward"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'THEFT' AND arrest = true""}","year (number), primary_type (text), arrest (boolean), ward (number).",
How many robberies involved a handgun (IUCR 031A)?,"{""$select"": ""count(*) as total"", ""$where"": ""iucr = '031A'""}",iucr (text).,031A | ROBBERY | ARMED - HANDGUN
"How many robberies involved no weapon (strongarm, IUCR 0320)?","{""$select"": ""count(*) as total"", ""$where"": ""iucr = '0320'""}",iucr (text).,0320 | ROBBERY | STRONG ARM - NO WEAPON
How many robberies involved a knife or cutting instrument (IUCR 0312)?,"{""$select"": ""count(*) as total"", ""$where"": ""iucr = '0312'""}",iucr (text).,0312 | ROBBERY | ARMED - KNIFE / CUTTING INSTRUMENT
How many robberies involved another firearm (IUCR 031B)?,"{""$select"": ""count(*) as total"", ""$where"": ""iucr = '031B'""}",iucr (text).,031B | ROBBERY | ARMED - OTHER FIREARM
How many burglaries were home invasions (IUCR 0650) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0650'""}","year (number), iucr (text).",0650 | BURGLARY | HOME INVASION
How many burglaries were forcible entries (IUCR 0610) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0610'""}","year (number), iucr (text).",0610 | BURGLARY | FORCIBLE ENTRY
How many burglaries were unlawful entries (IUCR 0620) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0620'""}","year (number), iucr (text).",0620 | BURGLARY | UNLAWFUL ENTRY
How many burglaries were attempts at forcible entry (IUCR 0630) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0630'""}","year (number), iucr (text).",0630 | BURGLARY | ATTEMPT FORCIBLE ENTRY
How many thefts were pocket-picking (IUCR 0870) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0870'""}","year (number), iucr (text).",0870 | THEFT | POCKET-PICKING
How many thefts were purse-snatching (IUCR 0880) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0880'""}","year (number), iucr (text).",0880 | THEFT | PURSE-SNATCHING
How many thefts were from a building (IUCR 0890) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0890'""}","year (number), iucr (text).",0890 | THEFT | FROM BUILDING
How many thefts were from motor vehicles (IUCR 0710) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0710'""}","year (number), iucr (text).",0710 | THEFT | THEFT FROM MOTOR VEHICLE
How many motor vehicle thefts involved automobiles (IUCR 0910) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0910'""}","year (number), iucr (text).",0910 | MOTOR VEHICLE THEFT | AUTOMOBILE
"How many motor vehicle thefts involved trucks, buses, or motor homes (IUCR 0915) in 2024?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0915'""}","year (number), iucr (text).","0915 | MOTOR VEHICLE THEFT | TRUCK, BUS, MOTOR HOME"
How many motor vehicle thefts were theft/recovery of automobiles (IUCR 0930) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0930'""}","year (number), iucr (text).",0930 | MOTOR VEHICLE THEFT | THEFT / RECOVERY - AUTOMOBILE
How many arsons were by fire (IUCR 1020) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '1020'""}","year (number), iucr (text).",1020 | ARSON | BY FIRE
How many arsons were attempts (IUCR 1090) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '1090'""}","year (number), iucr (text).",1090 | ARSON | ATTEMPT ARSON
How many simple battery incidents (IUCR 0460) happened in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0460'""}","year (number), iucr (text).",0460 | BATTERY | SIMPLE
How many domestic battery simple incidents (IUCR 0486) happened in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0486'""}","year (number), iucr (text).",0486 | BATTERY | DOMESTIC BATTERY SIMPLE
